EOMONTH,F,CAT,DIS,MCD,KO,PEP,WMT,C,WFC,JPM,AAPL,IBM,PFE,JNJ,XOM,MRO,ED,T,VZ,NEM
2006-11-30,5.511117458,41.52702713,27.11931038,27.48366547,15.10898685,40.91723633,33.00068665,391.6698608,23.50146103,31.88163757,2.814952612,60.34226227,14.45087528,42.99512863,47.04346466,20.92012215,25.71665764,15.29482174,16.32606125,37.30455017
2006-12-31,5.090836525,41.0583992,28.37505531,29.02908134,15.56712532,41.49417114,33.18005753,439.9276733,23.71486664,33.27318192,2.605505943,63.77557755,13.61504173,43.06687927,46.93321991,20.50340843,25.63664627,16.1247406,17.40075684,35.98101044
2007-01-31,5.511117458,43.10860062,29.12024498,29.04216957,15.44775009,43.27864838,34.26500702,435.4256592,24.14324951,35.33367538,2.632838249,65.08852386,13.79377937,43.57570648,45.38367081,20.02462769,25.74865532,17.15199852,18.19599533,35.94115448
2007-02-28,5.361985207,43.35083008,28.35849953,28.60998344,15.06058311,41.8922081,34.71046448,401.7656555,23.32324219,34.2652626,2.598441839,61.1957283,13.26428127,41.29020309,44.08847809,20.19737244,26.21879768,16.7736721,17.66692734,35.94115448
2007-03-31,5.348426819,45.10020828,28.50753593,29.50057793,15.59706497,42.36510086,33.89478683,409.5027161,23.14177132,33.56456375,2.853341341,62.06487274,13.42370415,39.53834152,46.40730286,22.00294113,27.55726814,17.97244263,17.91257858,33.5405159
2007-04-30,5.450108528,49.07358551,28.96291733,31.6157093,16.95856094,44.05142975,34.59505844,427.6887817,24.12309265,36.40193558,3.064940214,67.29950714,14.06141281,42.13661575,48.824543,22.60849953,27.66521263,17.8099823,18.22957993,33.30886841
2007-05-31,5.653470516,53.10109329,29.34379768,33.10220337,17.21850395,45.54449081,34.52352905,438.9936829,24.44745255,36.21330643,3.721843243,70.46328735,14.76534176,41.78504181,51.37652588,27.68810654,26.65160179,19.0151062,20.78401184,32.49412918
2007-06-30,6.385575294,52.91189575,28.65424347,33.23971176,17.11131096,43.46596909,34.89343262,413.2131348,23.82424545,33.85171509,3.747946501,69.57092285,13.73407555,40.6953392,51.81511688,26.81816673,24.63171577,19.08870888,19.65719795,31.27560425
2007-07-31,5.76870966,53.47240448,27.69742966,31.34721565,17.04589272,43.98205948,33.32682419,375.1869202,22.87587738,30.98910713,4.046457291,73.14032745,12.62761307,39.95567322,52.58728027,24.68916321,23.8455925,18.16985512,20.54774857,33.42949677
2007-08-31,5.294198036,51.41628647,28.20102119,32.25088882,17.59216881,45.59738541,31.80381584,382.0882874,24.97418404,31.34822464,4.252834797,77.40557098,13.50279236,41.08211136,53.16962814,24.21133804,25.38984108,18.49927521,20.19098473,33.83787155
